 9, 1, 1
 9, 2, 1
 9, 22, 1
 9, 19, 1
 9, 30, 1
 9, 25, 1
 9, 169, 1
 9, 172, 1
 9, 3, 2
 9, 4, 2
 9, 5, 2
 9, 6, 2
 9, 24, 2
 9, 20, 2
 9, 170, 2
 9, 175, 2
 9, 7, 3
 9, 8, 3
 9, 9, 3
 9, 10, 3
 9, 17, 3
 9, 18, 3
 9, 21, 3
 9, 171, 3
 9, 23, 4
 9, 26, 4
 9, 12, 4
 9, 13, 4
 9, 31, 4
 9, 32, 4
 9, 33, 4
 9, 34, 4
 9, 27, 5
 9, 28, 5
 9, 35, 5
 9, 36, 5
 9, 39, 5
 9, 40, 5
 9, 29, 6
 9, 37, 6
 9, 38, 6
 9, 41, 6
 9, 42, 6
 9, 43, 7
 9, 44, 8
 5, 1, 1
 5, 2, 1
 5, 22, 1
 5, 19, 1
 5, 16, 1
 5, 45, 1
 5, 169, 1
 5, 175, 1
 5, 172, 1
 5, 3, 2
 5, 4, 2
 5, 5, 2
 5, 6, 2
 5, 20, 2
 5, 21, 2
 5, 170, 2
 5, 7, 3
 5, 8, 3
 5, 9, 3
 5, 10, 3
 5, 26, 3
 5, 27, 3
 5, 171, 3
 5, 25, 3
 5, 24, 3
 5, 46, 4
 5, 47, 4
 5, 52, 4
 5, 53, 4
 5, 50, 4
 5, 51, 4
 5, 56, 4
 5, 57, 4
 5, 12, 4
 5, 13, 4
 5, 29, 5
 5, 65, 5
 5, 58, 5
 5, 48, 5
 5, 49, 5
 5, 62, 5
 5, 63, 5
 5, 23, 6
 5, 59, 6
 5, 60, 6
 5, 54, 6
 5, 55, 6
 5, 66, 6
 5, 67, 6
 5, 28, 7
 5, 68, 7
 5, 119, 7
 5, 120, 7
 5, 64, 8
 1, 1, 1
 1, 2, 1
 1, 22, 1
 1, 19, 1
 1, 69, 1
 1, 169, 1
 1, 172, 1
 1, 3, 2
 1, 4, 2
 1, 5, 2
 1, 6, 2
 1, 17, 2
 1, 18, 2
 1, 20, 2
 1, 21, 2
 1, 170, 2
 1, 175, 2
 1, 7, 3
 1, 8, 3
 1, 9, 3
 1, 10, 3
 1, 12, 3
 1, 13, 3
 1, 171, 3
 1, 76, 3
 1, 26, 3
 1, 72, 4
 1, 73, 4
 1, 24, 4
 1, 27, 4
 1, 28, 5
 1, 29, 5
 1, 23, 6
 1, 25, 6
 1, 77, 7
 2, 1, 1
 2, 2, 1
 2, 22, 1
 2, 19, 1
 2, 78, 1
 2, 169, 1
 2, 24, 1
 2, 173, 1
 2, 172, 1
 2, 3, 2
 2, 4, 2
 2, 5, 2
 2, 6, 2
 2, 17, 2
 2, 18, 2
 2, 20, 2
 2, 21, 2
 2, 170, 2
 2, 174, 2
 2, 7, 3
 2, 8, 3
 2, 9, 3
 2, 10, 3
 2, 12, 3
 2, 13, 3
 2, 171, 3
 2, 76, 3
 2, 72, 4
 2, 73, 4
 2, 70, 4
 2, 71, 4
 2, 74, 4
 2, 75, 4
 2, 26, 4
 2, 27, 4
 2, 79, 5
 2, 80, 5
 2, 28, 5
 2, 29, 5
 2, 23, 6
 2, 25, 6
 2, 77, 7
 3, 22, 1
 3, 19, 1
 3, 169, 1
 3, 81, 1
 3, 1, 1
 3, 2, 1
 3, 17, 1
 3, 18, 1
 3, 172, 1
 3, 3, 2
 3, 4, 2
 3, 5, 2
 3, 6, 2
 3, 20, 2
 3, 21, 2
 3, 170, 2
 3, 175, 2
 3, 7, 3
 3, 8, 3
 3, 9, 3
 3, 10, 3
 3, 12, 3
 3, 13, 3
 3, 14, 3
 3, 15, 3
 3, 171, 3
 3, 84, 4
 3, 85, 4
 3, 26, 4
 3, 27, 4
 3, 24, 4
 3, 28, 5
 3, 29, 5
 3, 82, 5
 3, 83, 5
 3, 25, 6
 3, 23, 6
 3, 86, 6
 3, 88, 7
 3, 87, 7
 3, 89, 8
 4, 90, 1
 4, 1, 1
 4, 2, 1
 4, 22, 1
 4, 19, 1
 4, 26, 1
 4, 169, 1
 4, 172, 1
 4, 175, 1
 4, 3, 2
 4, 4, 2
 4, 167, 2
 4, 168, 2
 4, 21, 2
 4, 20, 2
 4, 170, 2
 4, 5, 3
 4, 6, 3
 4, 9, 3
 4, 10, 3
 4, 11, 3
 4, 95, 3
 4, 23, 3
 4, 171, 3
 4, 91, 4
 4, 92, 4
 4, 12, 4
 4, 13, 4
 4, 96, 4
 4, 97, 4
 4, 28, 4
 4, 29, 4
 4, 7, 5
 4, 8, 5
 4, 98, 5
 4, 99, 5
 4, 104, 5
 4, 105, 5
 4, 93, 5
 4, 94, 5
