1, 2
2, 1
3, 1
4, 1
5, 2
5, 3
5, 4
6, 1
7, 1
8, 1
9, 1
10, 1
11, 2
11, 3
12, 2
12, 3
13, 1
14, 2
14, 3
15, 2
15, 3
16, 1
17, 1
18, 2
18, 3
19, 1
20, 1
21, 1
22, 1
23, 2
23, 3
24, 1
25, 1
26, 1
27, 1
28, 1
29, 1
30, 2
30, 3
31, 1
32, 1
33, 1
34, 1
35, 1
36, 1
37, 1
38, 1
39, 1
40, 2
40, 3
41, 2
41, 3
42, 2
42, 3
43, 1
44, 2
44, 3
45, 2
45, 3
46, 2
46, 3
47, 2
47, 3
48, 2
48, 3
49, 2
49, 3
50, 2
50, 3
51, 1
52, 2
52, 3
53, 2
53, 3
54, 2
54, 3
55, 1
56, 1
57, 1
58, 1
59, 2
59, 3
60, 1
61, 1
62, 1
63, 1
64, 1
65, 1
66, 1
67, 2
67, 3
68, 2
68, 3
69, 1
70, 2
70, 3
71, 1
72, 1
73, 1
74, 1
75, 1
76, 2
76, 3
77, 1
78, 2
78, 3
79, 2
79, 3
80, 1
81, 2
81, 3
82, 2
82, 3
83, 1
84, 2
84, 3
85, 2
85, 3
86, 2
86, 3
87, 2
87, 3
88, 2
88, 3
89, 2
89, 3
90, 2
90, 3
91, 2
91, 3
92, 2
92, 3
93, 2
93, 3
94, 2
94, 3
95, 2
95, 3
96, 2
96, 3
97, 2
97, 3
98, 1
99, 1
100, 1
101, 2
101, 3
102, 1
103, 1
104, 1
105, 1
106, 1
